YEAR,CERT,NAMEFULL,BRNUM,ADDRESBR,NAMEBR,BRSERTYP,CITY2BR,CNTYNAMB,CNTYNUMB,DEPSUMBR,BKMO,SIMS_ACQUIRED_DATE,SIMS_ESTABLISHED_DATE,SIMS_LATITUDE,SIMS_LONGITUDE,STNAMEBR,STNUMBR,UNINUMBR,ZIPBR
2021,628,"  Jpmorgan Chase Bank, National Association",8708,  480 Congress St,  Downtown Portland Branch,11,Portland,Cumberland,5,863,0,,6/8/2021,43.65673,-70.259555,Maine,23,634804,4101
2021,3510,"  Bank of America, National Association",8203,  One City Center,  Portland - One City Center Branch,11,Portland,Cumberland,5,1472838,0,6/13/2005,11/20/1933,43.657332,-70.25787,Maine,23,3,4101
2021,3510,"  Bank of America, National Association",8213,  849 Main Street,  Westbrook - Main St. Branch,11,Westbrook,Cumberland,5,64779,0,6/13/2005,1890-01-01,43.676678,-70.366257,Maine,23,11686,4092
2021,3510,"  Bank of America, National Association",8219,  251 Route 1,  Falmouth Branch,11,Falmouth,Cumberland,5,154126,0,6/13/2005,10/31/1962,43.72213,-70.232516,Maine,23,242579,4105
2021,3510,"  Bank of America, National Association",8220,  39 Auburn Street,  North Gate Branch,11,Portland,Cumberland,5,138482,0,6/13/2005,11/21/1957,43.701786,-70.288968,Maine,23,242580,4103
2021,3510,"  Bank of America, National Association",8221,  50 Market Street,  Portland - Millcreek Branch,11,South Portland,Cumberland,5,133128,0,6/13/2005,6/22/1955,43.635735,-70.25472,Maine,23,242582,4106
2021,3510,"  Bank of America, National Association",8222,  772 Roosevelt Trail,  North Windham Branch,11,Windham,Cumberland,5,90508,0,6/13/2005,11/7/1972,43.837132,-70.440944,Maine,23,242583,4062
2021,3510,"  Bank of America, National Association",8223,  534 Main St,  Saco Branch,11,Saco,York,31,103646,0,6/13/2005,9/12/1974,43.510872,-70.433194,Maine,23,242585,4072
2021,3510,"  Bank of America, National Association",8224,"  75 Wells Plaza, Unit 11",  Wells Branch,11,Wells,York,31,202218,0,6/13/2005,11/18/1974,43.300394,-70.584075,Maine,23,242586,4090
2021,3510,"  Bank of America, National Association",8229,  425 Philbrook Avenue,  Maine Mall Branch,11,South Portland,Cumberland,5,158572,0,6/13/2005,9/30/1985,43.634411,-70.330999,Maine,23,242598,4106
2021,3510,"  Bank of America, National Association",8230,"  37 Gorham Road, Route 114",  Scarborough Branch,11,Scarborough,Cumberland,5,83107,0,6/13/2005,3/11/1988,43.596318,-70.33574,Maine,23,242600,4074
2021,3510,"  Bank of America, National Association",8232,  110 Maine Street,  Brunswick Branch,11,Brunswick,Cumberland,5,168149,0,6/13/2005,3/23/1962,43.911928,-69.963555,Maine,23,202532,4011
2021,3510,"  Bank of America, National Association",9524,  1 Monument Sq,  Monument Plaza Pwm Branch,23,Portland,Cumberland,5,25040,0,,1/20/2009,43.657391,-70.258415,Maine,23,491070,4101
2021,4255,  The Camden National Bank,0,  2 Elm St,  The Camden National Bank,11,Camden,Knox,13,737395,1,,1875-01-01,44.209545,-69.0647,Maine,23,2790,4843
2021,4255,  The Camden National Bank,1,  Union Common,  Union Branch,11,Union,Knox,13,59019,0,,12/19/1960,44.261537,-69.280154,Maine,23,202447,4862
